itemID,userID,rating,timestamp,rt
1210,1,5.0,964980499,0.5
2018,1,5.0,964980523,24.0
2628,1,4.0,964980523,0.5
2826,1,4.0,964980523,0.5
3617,1,4.0,964980683,15.0
3744,1,4.0,964980694,11.0
441,1,4.0,964980868,0.5
2858,1,5.0,964980868,0.5
1473,1,4.0,964980875,7.0
2997,1,4.0,964980896,21.0
235,1,4.0,964980908,12.0
1060,1,4.0,964980924,16.0
356,1,4.0,964980962,38.0
223,1,3.0,964980985,23.0
1500,1,4.0,964980985,0.5
2700,1,5.0,964980985,0.5
3243,1,3.0,964981093,0.5
1517,1,5.0,964981107,14.0
3253,1,5.0,964981107,0.5
1580,1,3.0,964981125,18.0
1732,1,5.0,964981125,0.5
2596,1,5.0,964981144,19.0
3450,1,5.0,964981144,0.5
231,1,5.0,964981179,35.0
333,1,5.0,964981179,0.5
543,1,4.0,964981179,0.5
1042,1,4.0,964981179,0.5
216,1,5.0,964981208,29.0
500,1,3.0,964981208,0.5
3052,1,5.0,964981208,0.5
3809,1,4.0,964981220,12.0
1777,1,4.0,964981230,10.0
3,1,4.0,964981247,17.0
2542,1,5.0,964981265,18.0
2502,1,5.0,964981278,13.0
1080,1,5.0,964981327,49.0
1136,1,5.0,964981327,0.5
1793,1,4.0,964981404,77.0
1256,1,5.0,964981442,38.0
1927,1,5.0,964981497,55.0
923,1,5.0,964981529,32.0
3671,1,5.0,964981589,60.0
260,1,5.0,964981680,91.0
1073,1,5.0,964981680,0.5
1097,1,5.0,964981680,0.5
2174,1,4.0,964981680,0.5
2872,1,5.0,964981680,0.5
367,1,4.0,964981710,30.0
1967,1,4.0,964981710,0.5
2005,1,5.0,964981710,0.5
2093,1,3.0,964981710,0.5
2161,1,5.0,964981710,0.5
2193,1,4.0,964981710,0.5
2797,1,4.0,964981710,0.5
2105,1,4.0,964981725,15.0
2143,1,4.0,964981725,0.5
3479,1,4.0,964981725,0.5
2054,1,4.0,964981747,22.0
673,1,3.0,964981775,28.0
1009,1,3.0,964981775,0.5
2253,1,2.0,964981775,0.5
3489,1,4.0,964981775,0.5
1920,1,4.0,964981780,5.0
3439,1,4.0,964981799,19.0
3440,1,4.0,964981799,0.5
1196,1,5.0,964981827,28.0
1198,1,5.0,964981827,0.5
1214,1,4.0,964981855,28.0
2692,1,5.0,964981855,0.5
3793,1,5.0,964981855,0.5
1197,1,5.0,964981872,17.0
2944,1,5.0,964981872,0.5
3062,1,4.0,964981872,0.5
2028,1,4.0,964981888,16.0
2571,1,5.0,964981888,0.5
2949,1,5.0,964981888,0.5
457,1,5.0,964981909,21.0
1220,1,5.0,964981909,0.5
1222,1,5.0,964981909,0.5
1291,1,5.0,964981909,0.5
3703,1,5.0,964981909,0.5
940,1,5.0,964982176,0.5
